#f_AFG	f_clk	f_meas
10.0e3	3.164e6	9.99386e3
10.0e3	3.164e6	10.042e3
10.0e3	3.164e6	9.99386e3
20.0e3	3.164e6	20.03611e3
20.0e3	3.164e6	20.03611e3
20.0e3	3.164e6	20.03611e3
30.0e3	3.164e6	30.0298e3
30.0e3	3.164e6	30.0298e3
30.0e3	3.164e6	29.98159e3
40.0e3	3.164e6	40.0237e3
40.0e3	3.164e6	40.0237e3
40.0e3	3.164e6	40.0237e3
50.0e3	3.164e6	50.0176e3
50.0e3	3.164e6	50.0176e3
50.0e3	3.164e6	49.969e3
60.0e3	3.164e6	59.963e3
60.0e3	3.164e6	60.0115e3
60.0e3	3.164e6	60.0115e3
70.0e3	3.164e6	70.00354e3
70.0e3	3.164e6	70.00534e3
70.0e3	3.164e6	70.00534e3
80.0e3	3.164e6	79.999e3
80.0e3	3.164e6	79.999e3
80.0e3	3.164e6	79.999e3
90.0e3	3.164e6	89.993e3
90.0e3	3.164e6	89.993e3
90.0e3	3.164e6	89.993e3
100.0e3	3.164e6	99.9869e3
100.0e3	3.164e6	99.9869e3
100.0e3	3.164e6	99.9869e3
5.0e6	1.0e8	5.004906e6
5.0e6	1.0e8	5.004904e6
5.0e6	1.0e8	5.004903e6
10.0e6	1.0e8	10.009809e6
10.0e6	1.0e8	10.009808e6
10.0e6	1.0e8	10.009810e6
15.0e6	1.0e8	15.0158e6
15.0e6	1.0e8	15.0147e6
15.0e6	1.0e8	15.0147e6
20.0e6	1.0e8	20.0196e6
20.0e6	1.0e8	20.0208e6
20.0e6	1.0e8	20.117e6
